Title,Year,Stars,Director,Genre
48 Hrs.,1982,"Nick Nolte, Eddie Murphy, Annette O’Toole",Walter Hill,Action
A Low Down Dirty Shame,1994,"Keenen Ivory Wayans, Charles S. Dutton, Jada Pinkett Smith",Keenen Ivory Wayans,Action
"Abar, the First Black Superman",1977,"Walter Smith, Tobar Mayo, Roxie Young",Frank Packard,Action
Across 110th Street,1972,"Anthony Quinn, Yaphet Kotto, Anthony Franciosa",Barry Shear,Action
Alex Cross,2012,"Tyler Perry, Matthew Fox, Rachel Nichols",Rob Cohen,Action
Bad Boys,1995,"Will Smith, Martin Lawrence, Lisa Boyle",Michael Bay,Action
Bad Boys II,2003,"Will Smith, Martin Lawrence, Gabrielle Union",Michael Bay,Action
Bamboo Gods and Iron Men,1974,"James Iglehart, Shirley Washington, Chiquito",Cesar Gallardo,Action
Bare Knuckles,1977,"Robert Viharo, Sherry Jackson, Michael Heit",Don Edmonds,Action
Beverly Hills Cop,1984,"Eddie Murphy, Judge Reinhold, John Ashton",Martin Brest,Action
Big Momma’s House,2000,"Martin Lawrence, Nia Long, Paul Giamatti",Raja Gosnell,Action
Big Momma’s House 2,2006,"Martin Lawrence, Emily Procter, Nia Long",John Whitesell,Action
Biker Boyz,2003,"Laurence Fishburne, Derek Luke, Orlando Jones",Reggie Rock Bythewood,Action
Black Belt Jones,1974,"Jim Kelly, Gloria Hendry, Scatman Crothers",Robert Clouse,Action
Black Caesar,1973,"Fred Williamson, Gloria Hendry, Art Lund", Larry Cohen,Action
Black Cobra,1987,"Fred Williamson, Eva Grimaldi, Bruno Bilotta",Stelvio Massi,Action
Black Cobra 2,1990,"Fred Williamson, Nicholas Hammond, Emma Hoagland",Edoardo Margheriti,Action
Black Cobra 3,1990,"Fred Williamson, Forry Smith, Debra Ward",Edoardo Margheriti,Action
Black Dynamite,2009,"Arsenio Hall, Tommy Davidson, Michael Jai White",Scott Sanders,Action
Black Eye,1974,"Fred Williamson, Rosemary Forsyth, Teresa Graves",Jack Arnold,Action
Black Fist aka Bogard,1974,"Richard Lawson, Annazette Chase, Philip Michael Thomas","Timothy Galfas, Richard Kaye",Action
Black Gunn,1972," Jim Brown, Martin Landau, Brenda Sykes",Robert Hartford-Davis,Action
Black Heat,1976,"Timothy Brown, Russ Tamblyn, Jana Bellan",Al Adamson,Action
Black Samson,1974,"Rockne Tarkington, William Smith, Connie Strickland",Charles Bail,Action
Black Samurai,1977,"Jim Kelly, Bill Roy, Roberto Contreras",Al Adamson,Action
Black Shampoo,1976,"John Daniels, Tanya Boyd, Joseph Carlo",Greydon Clark,Action
Blade,1998,"Wesley Snipes, Stephen Dorff, Kris Kristofferson",Stephen Norrington,Action
Blade II,2002,"Wesley Snipes, Kris Kristofferson, Ron Perlman",Guillermo del Toro,Action
Blade: Trinity,2004,"Wesley Snipes, Kris Kristofferson, Parker Posey",David S. Goyer,Action
Blue Streak,1999," Martin Lawrence, Luke Wilson, Peter Greene",Les Mayfield,Action
Boss,1975,"Fred Williamson, D’Urville Martin, William Smith",Jack Arnold,Action
Bronze Buckaroo,1939,"Herb Jeffries, Lucius Brooks, Artie Young",Richard C. Kahn,Action
Brotherhood of Death,1976,"Roy Jefferson, Le Tari, Haskell V. Anderson III",Bill Berry,Action
Bucktown,1975,"Fred Williamson, Pam Grier, Thalmus Rasulala",Arthur Marks,Action
Cleopatra Jones,1973,"Tamara Dobson, Bernie Casey, Brenda Sykes",Jack Starrett,Action
