Title,Year,Stars,Director,Genre
Across 110th Street,1972,"Anthony Quinn, Yaphet Kotto, Anthony Franciosa",Barry Shear,Blaxploitation
Bamboo Gods and Iron Men,1974,"James Iglehart, Shirley Washington, Chiquito",Cesar Gallardo,Blaxploitation
Bare Knuckles,1977,"Robert Viharo, Sherry Jackson, Michael Heit",Don Edmonds,Blaxploitation
Black Belt Jones,1974,"Jim Kelly, Gloria Hendry, Scatman Crothers",Robert Clouse,Blaxploitation
Black Caesar,1973,"Fred Williamson, Gloria Hendry, Art Lund",Larry Cohen,Blaxploitation
Black Eye,1974,"Fred Williamson, Rosemary Forsyth, Teresa Graves",Jack Arnold,Blaxploitation
Black Fist aka Bogard,1974,"Richard Lawson, Annazette Chase, Philip Michael Thomas","Timothy Galfas, Richard Kaye",Blaxploitation
Black Gunn,1972," Jim Brown, Martin Landau, Brenda Sykes",Robert Hartford-Davis,Blaxploitation
Black Heat,1976,"Timothy Brown, Russ Tamblyn, Jana Bellan",Al Adamson,Blaxploitation
"Black Mama, White Mama",1973,"Pam Grier, Margaret Markov, Sid Haig",Eddie Romero,Blaxploitation
Black Samson,1974,"Rockne Tarkington, William Smith, Connie Strickland",Charles Bail,Blaxploitation
Black Samurai,1977,"Jim Kelly, Bill Roy, Roberto Contreras",Al Adamson,Blaxploitation
Black Shampoo,1976,"John Daniels, Tanya Boyd, Joseph Carlo",Greydon Clark,Blaxploitation
Book of Numbers,1973,"Raymond St. Jacques, Philip Michael Thomas, Freda Payne",Raymond St. Jacques,Blaxploitation
Boss,1975,"Fred Williamson, D’Urville Martin, William Smith",Jack Arnold,Blaxploitation
Brotherhood of Death,1976,"Roy Jefferson, Le Tari, Haskell V. Anderson III",Bill Berry,Blaxploitation
Bucktown,1975,"Fred Williamson, Pam Grier, Thalmus Rasulala",Arthur Marks,Blaxploitation
Cleopatra Jones,1973,"Tamara Dobson, Bernie Casey, Brenda Sykes",Jack Starrett,Blaxploitation
Cleopatra Jones and the Casino of Gold,1975,"Tamara Dobson, Stella Stevens, Ni Tien",Charles Bail,Blaxploitation
Coffy,1973,"Pam Grier, Booker Bradshaw, Robert DoQui",Jack Hill,Blaxploitation
Come Back Charleston Blue,1972,"Godfrey Cambridge, Raymond St. Jacques, Peter De Anda",Mark Warren,Blaxploitation
Cool Breeze,1972,"Thalmus Rasulala, Judy Pace, James Watkins",Barry Pollack,Blaxploitation
Coonskin,1975,"Barry White, Charles Gordone, Scatman Crothers",Ralph Bakshi,Blaxploitation
Cotton Comes to Harlem,1970,"Godfrey Cambridge, Raymond St. Jacques, Calvin Lockhart",Ossie Davis,Blaxploitation
Death Dimension,1978,"Jim Kelly, Harold Sakata, George Lazenby",Al Adamson,Blaxploitation
Death Journey,1976,"Fred Williamson, Bernard Kirby, Art Maier",Fred Williamson,Blaxploitation
Deliver Us from Evil,1977,"Marie O’Henry, Renny Roker, Candi Keath",Horace Jackson,Blaxploitation
Detroit 9000,1973,"Hari Rhodes, Alex Rocco, Vonetta McGee",Arthur Marks,Blaxploitation
Diamonds aka Diamond Shaft,1975,"Robert Shaw, Richard Roundtree, Barbara Hershey",Menahem Golan,Blaxploitation
Disco Godfather,1979,"Rudy Ray Moore, Carol Speed, Jimmy Lynch",J. Robert Wagoner,Blaxploitation
Dolemite,1975,"Rudy Ray Moore, D’Urville Martin, Jerry Jones",D’Urville Martin,Blaxploitation
Dynamite Brothers,1974,"Timothy Brown, Alan Tang, Aldo Ray",Al Adamson,Blaxploitation
"Ebony, Ivory & Jade aka She Devil’s in Chains",1976,"Rosanne Katon, Colleen Camp, Sylvia Anderson",Cirio H. Santiago,Blaxploitation
Fight for Your Life,1977,"Robert Judd, Catherine Peppers, Lela Small",Robert A. Endelson,Blaxploitation
Final Comedown,1972,"Billy Dee Williams, D’Urville Martin, Celia Kaye",Oscar Williams,Blaxploitation
Foxy Brown,1974,"Pam Grier, Antonio Fargas, Peter Brown",Jack Hill,Blaxploitation
Friday Foster,1975,"Pam Grier, Yaphet Kotto, Godfrey Cambridge",Arthur Marks,Blaxploitation
Get Christie Love,1974,"Teresa Graves, Harry Guardino, Louise Sorel",William A. Graham,Blaxploitation
Gordon’s War,1973,"Paul Winfield, Carl Lee, David Downing",Ossie Davis,Blaxploitation
Hammer,1972,"Fred Williamson, Bernie Hamilton, Vonetta McGee",Bruce D. Clark,Blaxploitation
Hell Up in Harlem,1973,"Fred Williamson, Julius Harris, Gloria Hendry",Larry Cohen,Blaxploitation
Hit !,1973,"Billy Dee Williams, Richard Pryor, Paul Hampton",Sidney J. Furie,Blaxploitation
Hit Man,1972,"Bernie Casey, Pam Grier, Lisa Moore",George Armitage,Blaxploitation
Hot Potato,1976," Jim Kelly, George Memmoli, Geoffrey Binney",Oscar Williams,Blaxploitation
JD's Revenge,1976,"Glynn Turman, Louis Gossett Jr., Joan Pringle",Arthur Marks,Blaxploitation
Lady Cocoa,1975,"Lola Falana, Gene Washington, Alex Dreier",Matt Cimber,Blaxploitation
Mandingo,1975,"James Mason, Susan George, Perry King",Richard Fleischer,Blaxploitation
Mean Johnny Barrows,1976," Fred Williamson, Roddy McDowall, Stuart Whitman",Fred Williamson,Blaxploitation
Mean Mother,1974,"Dobie Gray, Dennis Safren, Luciana Paluzzi","Al Adamson, León Klimovsky",Blaxploitation
Pacific Inferno,1979,"Jim Brown, Richard Jaeckel, Timothy Brown",Rolf Bayer,Blaxploitation
Penitentiary,1979,"Wilbur ‘Hi-Fi’ White, Leon Isaac Kennedy, Thommy Pollard",Jamaa Fanaka,Blaxploitation
Poor Pretty Eddie,1975," Leslie Uggams, Shelley Winters, Michael Christian","Richard Robinson, David Worth",Blaxploitation
Scream Blacula Scream,1973,"William Marshall, Don Mitchell, Pam Grier",Bob Kelljan,Blaxploitation
Shaft,1971,"Richard Roundtree, Moses Gunn, Charles Cioffi",Gordon Parks,Blaxploitation
