Title,Year,Stars,Director,Genre
Beverly Hills Cop,1984,,Martin Brest,
The Color Purple,1985,Whoopi Goldberg,Steven Spielberg,
The Color Purple,1985,,Steven Spielberg,
Beverly Hills Cop 2,1987,,Tony Scott,
Coming To America,1988,,John Landis,
Boyz n the Hood,1991,"Cuba Gooding, Jr. & Ice Cube",John Singleton,
A Rage in Harlem,1991,Forest Whitaker,Bill Duke,
Boomerang,1992,Eddie Murphy,Reginald Hudlin,
Boomerang,1992,,Reginald Hudlin,
Sister Act,1992,,Emile Ardo ,
The Bodyguard,1992,,Mick Jackson,
The Pelican Brief,1993,,Alan J Pakula,
Above the Rim,1994,Duane Martin,Jeff Pollack,
A Low Down Dirty Shame,1994,Keenen Ivory Wayans,Keenen Ivory Wayans,
Beverly Hills Cop 3,1994,,John Landis,
Bad Boys,1995,Will Smith & Martin Lawrence,Michael Bay,
Waiting to Exhale,1995,"Angela Bassett, Whitney Houston, Lela Rochon, Loretta Devine",Forest Whitaker,
Bad Boys,1995,,Michael Bay,
The Nutty Professor,1996,,Tom Shadyac,
The 6th Man,1997,Marlon Wayans,Randall Miller,
Beloved,1998,Oprah Winfrey,Jonathan Demme,
Blade,1998,,Stephen Norrington,
The Best Man,1999,Taye Diggs,Malcolm D. Lee,
Blue Streak,1999,,Les Mayfield,
The Bone Collector,1999,,Phillip Noyce,
Bamboozled,2000,Damon Wayans,Spike Lee,
Big Momma's House,2000,Martin Lawrence,Michael Bay,
Big Momma'S House,2000,,Raja Gosnell,
Shaft,2000,,John Singleton,
Ali,2001,Will Smith,Michael Mann,
Bones,2001,Snoop Dogg,Ernest R. Dickerson,
The Brothers,2001,Morris Chestnut,Gary Hardwick,
Training Day,2001,,Antoine Fuqua,
All About the Benjamins,2002,Ice Cube,Kevin Bray,
Antwone Fisher,2002,Derek Luke,Denzel Washington,
Barbershop,2002,Ice Cube,Tim Story,
Brown Sugar,2002,Taye Diggs & Sanaa Lathan,Rick Famuyiwa,
Adventures of Pluto Nash,2002,Eddie Murphy,Steve Pink,
Blade Ii,2002,,Guillermo del Tora,
Bad Boys II,2003,Will Smith & Martin Lawrence,Michael Bay,
Bad Boys Ii,2003,,Michael Bay,
Blade: Trinity,2004,,David S Goyer,
Man Of Fire,2004,,Tony Scott,
Ray,2004,,Taylor Hackford,
White Chicks,2004,,Keenen Ivory Wayans,
Are We There Yet?,2005,Ice Cube,Brian Levant,
Hitch,2005,,Andy Tennant,
ATL,2006,T.I.,Chris Robinson,
Akeelah and the Bee,2006,Keke Palmer,Doug Atchison,
Big Momma'S House 2 ,2006,,John Whitesell,
Dreamgirls,2006,,Bill Condon,
Inside Man,2006,,Spike Lee,
The Nutty Professor II the Klumps,2006,,Peter Segal,
The Pursuit Of Happyness,2006,,Gabrielle Muccino,
American Gangster,2007,Denzel Washington,Ridley Scott,
Are We Done Yet?,2007,Ice Cube,Steve Carr,
American Gangster,2007,,Ridley Scott,
I Am Legend,2007,,Francis Lawrence,
Hancock,2008,,Peter Berg,
The Book Of Eli,2010,,Albert Hughes Allen Hughes,
The Help,2011,,Tate Taylor,
Beasts of the Southern Wild,2012,Quvenzhané Wallis,Benh Zeitlin,
Django Unchained,2012,,Quentin Tarantino,
Safehouse,2012,,Daniel Espinosa,
Black Nativity,2013,Jacob Latimore,Kasi Lemmons,
The Butler,2013,Forest Whitaker,Lee Daniels,
12 Years A Slave,2013,,Steve McQueen,
The Butler,2013,,Lee Daniels,
About Last Night,2014,Joy Bryant,Steve Pink,
Ride Along,2014,,Tim Storey,
The Equalizer,2014,,Antoine Fuqua,
Creed,2015,,Ryan Coogler,
Straight Outta Compton,2015,,F. Gary Gray,
The Birth of a Nation,2016,Nate Parker,Nate Parker,
Central Intelligence,2016,,Rawson Marshall Thurber,
Hidden Figures,2016,,Theodore Melfi,
Ride Along 2,2016,,Tim Storey,
All Eyez on Me,2017,Demetrius Shipp Jr.,Benny Boom,
Get Out,2017,,Jordan Peele,
Girls Trip,2017,,Malcolm D. Lee,
Jumanji Welcome To The Jungle,2017,,Jake Kasdan,
Black Panther,2018,Chadwick Boseman,Ryan Coogler,
A Wrinkle in Time,2018,Storm Reid,Ava DuVernay,
BlacKkKlansman,2018,John David Washington,Spike Lee,
Green Book,2018,Mahershala Ali,Peter Farrelly,
A Wrinkle In Time,2018,,Ava Duvernay,
Black Panther,2018,,Ryan Coogler,
Creed 2,2018,,Steve Capel Jr,
The Equalizer 2,2018,,Antoine Fuqua,
What Men Want,2019,Taraji P. Henson,Adam Shankman,
Us,2019,,Jordan Peele,
Bad Boys for Life,2020,Will Smith & Martin Lawrence,Adil & Bilall,
