Title,Year,Stars,Director,Genre
30 Years to Life,2001,"Erika Alexander, Melissa De Sousa, Tracy Morgan",Vanessa Middleton,Comedy
35 and Ticking,2011,"Tamala Jones, Nicole Ari Parker, Kevin Hart",Russ Parr,Comedy
48 Hrs,1982,"Nick Nolte, Eddie Murphy, Annette O’Toole",Walter Hill,Comedy
A Family Thing,1996,"Robert Duvall, James Earl Jones, Michael Beach",Richard Pearce,Comedy
A Low Down Dirty Shame,1994,"Keenen Ivory Wayans, Charles S. Dutton, Jada Pinkett Smith",Keenen Ivory Wayans,Comedy
A Piece of the Action,1977,"Sidney Poitier, Bill Cosby, James Earl Jones",Sidney Poitier,Comedy
A Thin Line Between Love and Hate,1996,"Martin Lawrence, Lynn Whitfield, Regina King",Martin Lawrence,Comedy
A Thousand Words,2012,"Eddie Murphy, Cliff Curtis, Kerry Washington",Brian Robbins,Comedy
Aaron Loves Angela,1975,"Moses Gunn, Kevin Hooks, Irene Cara",Gordon Parks Jr.,Comedy
Adios Amigo,1976,"Fred Williamson, Richard Pryor, James Brown",Fred Williamson,Comedy
All About You,2001,"Renee Goldsberry, Terron Brooks, Debbie Allen",Christine Swanson,Comedy
Amazing Grace,1974,"Moms Mabley, Slappy White, Rosalind Cash",Stan Lathan,Comedy
Are We Done Yet?,2007,"Ice Cube, Nia Long, John C. McGinleyh",Steve Carr,Comedy
Are We There Yet?,2005,"Ice Cube, Nia Long, Aleisha Allen",Brian LeVant,Comedy
B.A.P.S.,1997,"Halle Berry, Natalie Desselle, Martin Landau",Robert Townsend,Comedy
Baby Boy,2001,"AlexSandra Wright, Tyrese Gibson, Taraji P. Henson",John Singleton,Comedy
Bad Boys,1995,"Will Smith, Martin Lawrence, Lisa Boyle",Michael Bay,Comedy
Bad Boys II,2003,"Will Smith, Martin Lawrence, Gabrielle Union",Michael Bay,Comedy
Bamboozled,2000,"Damon Wayans, Savion Glover, Jada Pinkett Smith",Spike Lee,Comedy
Barbershop,2002,"Ice Cube, Cedric the Entertainer, Eve",Tim Story,Comedy
Barbershop 2: Back in Business,2004,"Ice Cube, Cedric the Entertainer, Eve",Kevin Rodney Sullivan,Comedy
Beauty Shop,2005,"Queen Latifah, Alicia Silverstone, Djimon Hounsou",Bille Woodruff,Comedy
Bebe's Kids,1992,"Faizon Love, Vanessa Bell Calloway, Wayne Collins Jr.",Bruce W. Smith,Comedy
Beverly Hills Cop,1984,"Eddie Murphy, Judge Reinhold, John Ashton",Martin Brest,Comedy
Big Momma’s House,2000,"Martin Lawrence, Nia Long, Paul Giamatti",Raja Gosnell,Comedy
Big Momma’s House 2,2006,"Martin Lawrence, Emily Procter, Nia Long",John Whitesell,Comedy
Bingo Long Traveling All-Stars and Motor Kings,1976,"Billy Dee Williams, James Earl Jones, Richard Pryor",John Badham,Comedy
Black Belt Jones,1974,"Jim Kelly, Gloria Hendry, Scatman Crothers",Robert Clouse,Comedy
Black Dynamite,2009,"Arsenio Hall, Tommy Davidson, Michael Jai White",Scott Sanders,Comedy
Blankman,1994,"Damon Wayans, David Alan Grier, Robin Givens",Mike Binder,Comedy
Blue Streak,1999,"Martin Lawrence, Luke Wilson, Peter Greene",Les Mayfield,Comedy
Bogus,1996,"Whoopi Goldberg, Gérard Depardieu, Haley Joel Osment",Norman Jewison,Comedy
Bone,1972,"Yaphet Kotto, Andrew Duggan, Joyce Van Patten",Larry Cohen,Comedy
