Title,Year,Stars,Director,Genre
"10,000 Black Men Named George",2002,"Andre Braugher, Charles S. Dutton, Mario Van Peebles",Robert Townsend,Drama
30 Years to Life,2001,"Erika Alexander, Melissa De Sousa, Tracy Morgan",Vanessa Middleton,Drama
A Family Thing,1996,"Robert Duvall, James Earl Jones, Michael Beach",Richard Pearce,Drama
A Gathering of Old Men,1987,"Louis Gossett Jr., Richard Widmark, Holly Hunter",Volker Schlöndorff,Drama
A Hero Ain't Nothing But a Sandwich,1978,"Cicely Tyson, Paul Winfield, Larry B. Scott",Ralph Nelson,Drama
A Lesson Before Dying,1999,"Don Cheadle, Cicely Tyson, Mekhi Phifer",Joseph Sargent,Drama
A Man Called Adam,1966,"Sammy Davis Jr., Ossie Davis, Cicely Tyson",Leo Penn,Drama
A Patch of Blue,1965,"Sidney Poitier, Shelley Winters, Elizabeth Hartman",Guy Green,Drama
A Private Affair,2000,"Vanessa Bell Calloway, Clifton Powell, Lou Myers",Michael Toshiyuki Uno,Drama
A Raisin in the Sun,1961,"Sidney Poitier, Claudia McNeil, Ruby Dee",Daniel Petrie,Drama
A Raisin in the Sun,2008,"Sean Combs, Sanaa Lathan, Audra McDonald",Kenny Leon,Drama
A Soldier’s Story,1984,"Howard E. Rollins Jr., Adolph Caesar, Art Evans",Norman Jewison,Drama
A Thousand Words,2012,"Eddie Murphy, Cliff Curtis, Kerry Washington",Brian Robbins,Drama
A Time to Kill,1996,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson",Joel Schumacher,Drama
A Warm December,1973,"Sidney Poitier, Ester Anderson, Yvette Curtis",Sidney Poitier,Drama
A Woman Called Moses,1978,"Cicely Tyson, Orson Welles, Will Geer",Paul Wendkos,Drama
Aaron Loves Angela,1975,"Moses Gunn, Kevin Hooks, Irene Cara",Gordon Parks Jr.,Drama
"Abar, the First Black Superman",1977,"J. Walter Smith, Tobar Mayo, Roxie Young",Frank Packard,Drama
Above the Rim,1994,"Duane Martin, Tupac Shakur, Leon", Jeff Pollack,Drama
Across 110th Street,1972,"Anthony Quinn, Yaphet Kotto, Anthony Franciosa",Barry Shear,Drama
Akeelah and the Bee,2006,"Angela Bassett, Laurence Fishburne, Keke Palmer",Doug Atchison,Drama
Alex Haley’s Queen,1993,"Halle Berry, Christopher Allport, Ann-Margret",John Erman,Drama
Ali,2001,"Will Smith, Jamie Foxx, Jon Voight",Michael Mann,Drama
All About You,2001,"Renee Goldsberry, Terron Brooks, Debbie Allen",Christine Swanson,Drama
Always Outnumbered,1998,"Laurence Fishburne, Bill Cobbs, Natalie Cole",Michael Apted,Drama
American Gangster,2007,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor",Ridley Scott,Drama
American Son,2008,"Nick Cannon, Matt Sigloch, Dotan Baer",Neil Abramson,Drama
American Violet,2008,"Nicole Beharie, Will Patton, Alfre Woodard",Tim Disney,Drama
America's Dream,1996,"Danny Glover, Wesley Snipes, Lorraine Toussaint","Paris Barclay, Bill Duke, Kevin Rodney Sullivan",Drama
Amistad,1997,"Djimon Hounsou, Matthew McConaughey, Anthony Hopkins",Steven Spielberg,Drama
An Officer and a Gentleman,1982,"Richard Gere, Debra Winger, David Keith",Taylor Hackford,Drama
Anna Lucasta,1958,"Eartha Kitt, Sammy Davis Jr., Frederick O’Neal",Arnold Laven,Drama
Antwone Fisher,2002,"Denzel Washington, Derek Luke, Joy Bryant",Denzel Washington,Drama
Are We Done Yet?,2007,"Ice Cube, Nia Long, John C. McGinley",Steve Carr,Drama
Are We There Yet?,2005,"Ice Cube, Nia Long, Aleisha Allen",Brian LeVant,Drama
Autobiography of Miss Jane Pittman,1974,"Cicely Tyson, Eric Brown, Richard Dysart",John Korty,Drama
Baadasssss!,2003,"Mario Van Peebles, Nia Long, Joy Bryant",Mario Van Peebles,Drama
Baby Boy,2001,"AlexSandra Wright, Tyrese Gibson, Taraji P. Henson",John Singleton,Drama
Backstairs at the White House,1979,"Olivia Cole, Leslie Uggams, Louis Gossett Jr.",Michael O’Herlihy,Drama
Ballad in Blue,1964,"Ray Charles, Tom Bell, Mary Peach",Paul Henreid,Drama
Bamboo Gods and Iron Men,1974,"James Iglehart, Shirley Washington, Chiquito",Cesar Gallardo,Drama
Bamboozled,2000,"Damon Wayans, Savion Glover, Jada Pinkett Smith",Spike Lee,Drama
Barbershop,2002,"Ice Cube, Cedric the Entertainer, Eve",Tim Story,Drama
Barbershop 2: Back in Business,2004,"Ice Cube, Cedric the Entertainer, Eve",Kevin Rodney Sullivan,Drama
Beat Street,1984,"Rae Dawn Chong, Guy Davis, Jon Chardiet",Stan Lathan,Drama
Belly,1998,"Nas, DMX, Taral Hicks",Hype Williams,Drama
Beloved,1998,"Oprah Winfrey, Danny Glover, Thandie Newton",Jonathan Demme,Drama
Biker Boyz,2003,"Laurence Fishburne, Derek Luke, Orlando Jones",Reggie Rock Bythewood,Drama
Bird,1988,"Forest Whitaker, Diane Venora, Michael Zelniker",Clint Eastwood,Drama
Black Brigade aka Carter’s Army,1970,"Stephen Boyd, Robert Hooks, Susan Oliver",George McCowan,Drama
Black Caesar,1973,"Fred Williamson, Gloria Hendry, Art Lund",Larry Cohen,Drama
Black Cobra 2,1990,"Fred Williamson, Nicholas Hammond, Emma Hoagland",Edoardo Margheriti,Drama
Black Girl,1972,"Brock Peters, Claudia McNeil, Leslie Uggams",Ossie Davis,Drama
Black Heat,1976,"Timothy Brown, Russ Tamblyn, Jana Bellan",Al Adamson,Drama
Black Klansman,1966,"Richard Gilden, Rima Kutner, Harry Lovejoy",Ted V. Mikels,Drama
Black Like Me,1964,"James Whitmore, Sorrell Booke, Roscoe Lee Browne",Carl Lerner,Drama
"Black Mama, White Mama",1973,"Pam Grier, Margaret Markov, Sid Haig",Eddie Romero,Drama
Black Samson,1974,"Rockne Tarkington, William Smith, Connie Strickland",Charles Bail,Drama
Black Shampoo,1976,"John Daniels, Tanya Boyd, Joseph Carlo",Greydon Clark,Drama
Black Sisters Revenge aka Emma Mae,1976,"Jerri Hayes, Ernest Williams II, Charles D. Brooks III",Jamaa Fanaka,Drama
Blood Done Sign My Name,2010,"Michael Rooker, Ricky Schroder, Nick Searcy",Jeb Stuart,Drama
Blue Collar,1978,"Richard Pryor, Harvey Keitel, Yaphet Kotto",Paul Schrader,Drama
Blue Hill Avenue,2001,"Allen Payne, Angelle Brooks, Michael Taliferro",Craig Ross Jr.,Drama
Body and Soul,1925,"Paul Robeson, Marshall Rogers, Lawrence Chenault",Oscar Micheaux,Drama
