Title,Year,Stars,Director,Genre
Akeelah and the Bee,2006,"Angela Bassett, Laurence Fishburne, Keke Palmer",Doug Atchison,Family
Are We Done Yet?,2007,"Ice Cube, Nia Long, John C. McGinley",Steve Carr,Family
Are We There Yet?,2005,"Ice Cube, Nia Long, Aleisha Allen",Brian LeVant,Family
Autobiography of Miss Jane Pittman,1974,"Cicely Tyson, Eric Brown, Richard Dysart",John Korty,Family
Bogus,1996,"Whoopi Goldberg, Gérard Depardieu, Haley Joel Osment",Norman Jewison,Family
Call Me Claus,2001,"Whoopi Goldberg, Nigel Hawthorne, Brian Stokes Mitchell",Peter Werner,Family
Chasing Secrets aka The Secret Path,1999,"Della Reese, Crystal Bernard, Madeline Zima",Bruce Pittman,Family
Christmas at Water’s Edge,2004,"Keshia Knight Pulliam, Pooch Hall, Earl Billings",Lee Davis,Family
Cinderella,1997,"Brandy Norwood, Whoopi Goldberg, Bernadette Peters",Robert Iscove,Family
Claudine,1974,"Diahann Carroll, James Earl Jones, Lawrence Hilton-Jacobs", John Berry,Family
Clover,1997,"Elizabeth McGovern, Ernie Hudson, Zelda Harris",Jud Taylor,Family
College Road Trip,2008,"Raven-Symoné, Martin Lawrence, Kym Whitley",Roger Kumble,Family
Cool Runnings,1993,"John Candy, Leon, Doug E. Doug", Jon Turteltaub,Family
Daddy Day Camp,2007,"Cuba Gooding Jr., Lochlyn Munro, Richard Gant",Fred Savage,Family
Dr. Doolittle,1998,"Eddie Murphy, Peter Boyle, Ossie Davis",Betty Thomas,Family
Dr. Doolittle 2,2001,"Eddie Murphy, Cedric the Entertainer, Kristen Wilson",Steve Carr,Family
Dr. Doolittle 3,2006,"Kristen Wilson, Tara Wilson, Kyla Pratt",Rich Thorne,Family
Fat Albert,2004,"Kenan Thompson, Kyla Pratt, Omarion Grandberry", Joel Zwick,Family
Freedom Song,2000,"Danny Glover, Vicellous Reon Shannon, Vondie Curtis-Hall",Phil Alden Robinson,Family
Ghost Dad,1990,"Bill Cosby, Kimberly Russell, Denise Nicholas",Sidney Poitier,Family
Good Burger,1997,"Kel Mitchell, Kenan Thompson, Sinbad",Brian Robbins,Family
Have a Little Faith,2011,"Laurence Fishburne, Bradley Whitford, Anika Noni Rose",Jon Avnet,Family
Imagine That,2009,"Eddie Murphy, Thomas Haden Church, Yara Shahidi",Karey Kirkpatrick,Family
Kingdom Come,2001,"LL Cool J, Jada Pinkett Smith, Vivica A. Fox",Doug McHenry,Family
Kudzu Christmas,2002,"John Lawhorn, Virginia Randall, Deborah Duke",Fred H. Dresch,Family
Life-Size,2000,"Lindsay Lohan, Jere Burns, Anne Marie DeLuise",Mark Rosman,Family
Like Mike,2002,"Bow Wow, Jonathan Lipnicki, Morris Chestnut", John Schultz,Family
Like Mike 2: Streetball,2006,"Jascha Washington, Kel Mitchell, Michael Beach",David Nelson,Family
Little John,2002,"Ving Rhames, Gloria Reuben, Ruben Santiago-Hudson",Dick Lowry,Family
Mama Flora’s Family,1998,"Cicely Tyson, Erika Alexander, Blair Underwood",Peter Werner,Family
Meet Dave,2008,"Eddie Murphy, Elizabeth Banks, Gabrielle Union",Brian Robbins,Family
Moonwalker,1988,"Michael Jackson, Joe Pesci, Sean Lennon"," Jerry Kramer, Jim Blashfield, Colin Chilvers",Family
Our Friend Martin,1999,"Edward Asner, Angela Bassett, Lucas Black","Robert Brousseau, Vincenzo Trippetti",Family
Perfect Holiday,2007,"Gabrielle Union, Morris Chestnut, Queen Latifah",Lance Rivera,Family
Polly,1989,"Keshia Knight Pulliam, Phylicia Rashad, Dorian Harewood",Debbie Allen,Family
Polly Comin’ Home,1990,"Keshia Knight Pulliam, Phylicia Rashad, Dorian Harewood",Debbie Allen,Family
Pride,2007,"Terrence Howard, Bernie Mac, Kimberly Elise",Sunu Gonera,Family
Race to Freedom: The Story of the Underground Railroad,1994,"Falconer Abraham, Dwight Bacquie, Janet Bailey",Don McBrearty,Family
Rebound,2005,"Martin Lawrence, Megan Mullally, Breckin Meyer",Steve Carr,Family
Roots TV Miniseries,1977,"LeVar Burton, Olivia Cole, Ben Vereen","David Greene, Marvin J. Chomsky, John Erman and Gilbert Moses",Family
Roots' The Next Generations,1979,"Dorian Harewood, Debbi Morgan, Paul Koslo","John Erman, Charles S. Dubin",Family
Ruby Bridges,1998,"Penelope Ann Miller, Kevin Pollak, Michael Beach",Euzhan Palcy,Family
Santa & Pete,1999,"Hume Cronyn, James Earl Jones, Flex Alexander",Duwayne Dunham,Family
Selma Lord Selma,1999,"Mackenzie Astin, Jurnee Smollett-Bell, Clifton Powell",Charles Burnett,Family
Seventeen Again,2000,"Tia Mowry-Hardrict, Tamera Mowry-Housley, Mark Taylor",Jeffrey W. Byrd,Family
Sister Act,1992,"Whoopi Goldberg, Maggie Smith, Kathy Najimy",Emile Ardolino,Family
Sister Act 2,1993,"Whoopi Goldberg, Kathy Najimy, Maggie Smith",Bill Duke,Family
Snow Dogs,2002,"Cuba Gooding Jr., James Coburn, Sisqó",Brian Levant,Family
Something to Sing About,2000,"Irma P. Hall, Darius McCrary, Tamera Mowry-Housley",Charlie Jordan,Family
Soul of the Game,1996,"Delroy Lindo, Mykelti Williamson, Edward Herrmann",Kevin Rodney Sullivan,Family
Sounder �1972,1972,"Cicely Tyson, Paul Winfield, Kevin Hooks",Martin Ritt,Family
Sounder � 2003,2003,"Carl Lumbly, Suzzanne Douglas, Daniel Lee Robertson III",Kevin Hooks,Family
Space Jam,1996,"Michael Jordan, Wayne Knight, Theresa Randle", Joe Pytka,Family
The Cheetah Girls,2003,"Raven-Symoné, Adrienne Bailon, Kiely Williams",Oz Scott,Family
The Cheetah Girls 2,2006,"Raven-Symoné, Adrienne Bailon, Sabrina Bryan",Kenny Ortega,Family
The Cheetah Girls' One World,2008,"Adrienne Bailon, Sabrina Bryan, Kiely Williams",Paul Hoen,Family
The Fighting Temptations,2003,"Cuba Gooding Jr., Beyoncé Knowles, Mike Epps",Jonathan Lynn,Family
The Ideal Husband,2011,"Darrin Dewitt Henson, Shanti Lowry, Ginuwine",John Ruffin,Family
The Jackie Robinson Story,1950,"Jackie Robinson, Ruby Dee, Minor Watson",Alfred E. Green,Family
The Jacksons� An American Dream,1992,"Lawrence Hilton-Jacobs, Angela Bassett, Holly Robinson Peete",Karen Arthur,Family
The Jesse Owens Story,1984,"Dorian Harewood, Dan Ammerman, Bob Banks",Richard Irving,Family
The Karate Kid,2010,"Jackie Chan, Jaden Smith, Taraji P. Henson",Harald Zwart,Family
The Last Brickmaker in America,2001,"Sidney Poitier, Cody Newton, Piper Laurie",Gregg Champion,Family
The Marva Collins Story,1981,"Cicely Tyson, Morgan Freeman, Roderick Wimberly", Peter Levin,Family
The Meteor Man,1993,"Robert Townsend, Marla Gibbs, Eddie Griffin",Robert Townsend,Family
The Princess and the Frog,2009,"Anika Noni Rose, Keith David, Oprah Winfrey","Ron Clements, John Musker",Family
The Proud Family Movie,2005,"Kyla Pratt, Tommy Davidson, Paula Jai Parker", Bruce W. Smith,Family
The Pursuit of Happyness,2006,"Will Smith, Thandie Newton, Jaden Smith",Gabriele Muccino,Family
The Reading Room,2005," James Earl Jones, Joanna Cassidy, Douglas Spain",Georg Stanford Brown,Family
The Rosa Parks Story,2002,"Angela Bassett, Peter Francis James, Tonea Stewart", Julie Dash,Family
The Runaway,2000,"Dean Cain, Pat Hingle, Debbi Morgan",Arthur Allan Seidelman,Family
The Sky is Gray (The American Short Story Collection),1980,"Olivia Cole, James Bond III, Margaret Avery",Stan Lathan,Family
The Wishing Tree,1999,"Alfre Woodard, Helen Shaver, Mary Alice",Ivan Passer,Family
The Wiz,1978,"Diana Ross, Michael Jackson, Nipsey Russell",Sidney Lumet,Family
