Title,Year,Stars,Director,Genre
30 Years to Life,2001,"Erika Alexander, Melissa De Sousa, Tracy Morgan",Vanessa Middleton,Romance
35 and Ticking,2011,"Tamala Jones, Nicole Ari Parker, Kevin Hart",Russ Parr,Romance
A Patch of Blue,1965,"Sidney Poitier, Shelley Winters, Elizabeth Hartman",Guy Green,Romance
A Warm December,1973,"Sidney Poitier, Ester Anderson, Yvette Curtis",Sidney Poitier,Romance
Aaron Loves Angela,1975,"Moses Gunn, Kevin Hooks, Irene Cara",Gordon Parks Jr.,Romance
All About You,2001,"Renee Goldsberry, Terron Brooks, Debbie Allen",Christine Swanson,Romance
American Son,2008,"Nick Cannon, Matt Sigloch, Dotan Baer",Neil Abramson,Romance
An Officer and a Gentleman,1982,"Richard Gere, Debra Winger, David Keith",Taylor Hackford,Romance
Antwone Fisher,2002,"Denzel Washington, Derek Luke, Joy Bryant",Denzel Washington,Romance
Boomerang,1992,"Eddie Murphy, Robin Givens, Halle Berry",Reginald Hudlin,Romance
Breakin' All the Rules,2004,"Jamie Foxx, Gabrielle Union, Morris Chestnut",Daniel Taplitz,Romance
Brooklyn Babylon,2001,"Tariq Trotter, Karen Starc, Bonz Malone",Marc Levin,Romance
Brown Sugar,2002,"Taye Diggs, Sanaa Lathan, Mos Def",Rick Famuyiwa,Romance
Car Wash,1976,"Richard Pryor, Franklyn Ajaye, Darrow Igus",Michael Schultz,Romance
Carmen Jones,1954,"Harry Belafonte, Dorothy Dandridge, Pearl Bailey",Otto Preminger,Romance
Cheaper to Keep Her,2011,"Margot Boecker, Vivica A. Fox, Jason Gray-Stanford", Je’Caryous Johnson,Romance
Cinderella,1997,"Brandy Norwood, Whoopi Goldberg, Bernadette Peters",Robert Iscove,Romance
Cinderella Liberty,1973,"James Caan, Marsha Mason, Kirk Calloway",Mark Rydell,Romance
Claudine,1974,"Diahann Carroll, James Earl Jones, Lawrence Hilton-Jacobs",John Berry,Romance
Coming to America,1988,"Eddie Murphy, Arsenio Hall, James Earl Jones",John Landis,Romance
Commitments,2001,"Michael Greene, Howard S. Miller, Virginia Capers",Carol Mayes,Romance
Cooley High,1975,"Glynn Turman, Lawrence Hilton-Jacobs, Garrett Morris",Michael Schultz,Romance
"Corrina, Corrina",1994,"Ray Liotta, Whoopi Goldberg, Tina Majorino",Jessie Nelson,Romance
Daddy's Little Girls,2007,"Gabrielle Union, Idris Elba, Tracee Ellis Ross",Tyler Perry,Romance
Daughters of the Dust,1991,"Cora Lee Day, Alva Rogers, Barbarao",Julie Dash,Romance
Deliver Us from Eva,2003,"Gabrielle Union, LL Cool J, Essence Atkins",Gary Hardwick,Romance
Diary of a Mad Black Woman,2005,"Kimberly Elise, Steve Harris, Tyler Perry",Darren Grant,Romance
Disappearing Acts,2000,"Sanaa Lathan, Wesley Snipes, Michael Imperioli",Gina Prince-Bythewood,Romance
Don't Play Us Cheap,1973,"Thomas Anderson, Jay Van Leer, Robert Dunn",Melvin Van Peebles,Romance
Double Wedding,2010,"Tamera Mowry-Housley, Tia Mowry-Hardrict, O.T. Fagbenle",Craig Pryce,Romance
Down to Earth,2001,"Chris Rock, Regina King, Chazz Palminteri","Chris Weitz, Paul Weitz",Romance
Drumline,2002,"Nick Cannon, Zoe Saldana, Orlando Jones",Charles Stone III,Romance
Feast of All Saints,2001,"Robert Ri’chard, Peter Gallagher, Gloria Reuben",Peter Medak,Romance
Fire & Ice,2001,"Lark Voorhies, Kadeem Hardison, Glynn Turman",Bryan Goeres,Romance
For Love of Ivy,1968,"Sidney Poitier, Abbey Lincoln, Beau Bridges",Daniel Mann,Romance
"Georgia, Georgia",1972,"Dirk Benedict, Lars-Erik Berenett, Stig Engström",Stig Björkman,Romance
Getting Played,2006,"Vivica A. Fox, Bill Bellamy, Carmen Electra",David Silberg,Romance
Gone With the Wind,1939,"Clark Gable, Vivien Leigh, Thomas Mitchell",Victor Fleming,Romance
Good Deeds,2012,"Tyler Perry, Gabrielle Union, Thandie Newton",Tyler Perry,Romance
Guess Who,2005,"Ashton Kutcher, Bernie Mac, Zoe Saldana",Kevin Rodney Sullivan,Romance
Hidden Blessings,2000,"Cynda Williams, Marc Gomes, Kim Fields",Timothy Wayne Folsome,Romance
Higher Learning,1995,"Omar Epps, Kristy Swanson, Michael Rapaport", John Singleton,Romance
