Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$821,845,153",-,-,"$821,845,153",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$390,957,654","$80,657,654",20.6%,"$310,300,000",79.4%
4,A Writer's Odyssey,"$149,506,203","$110,779",<0.1%,"$149,395,424",99.9%
5,Sister,"$119,500,000",-,-,"$119,500,000",100%
6,Raya and the Last Dragon,"$109,693,548","$37,794,788",34.5%,"$71,898,760",65.5%
7,Tom and Jerry,"$101,400,064","$42,600,064",42%,"$58,800,000",58%
8,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
9,Boonie Bears: The Wild Life,"$77,725,611",-,-,"$77,725,611",100%
10,Evangelion: 3.0+1.0 Thrice Upon a Time,"$67,714,450",-,-,"$67,714,450",100%
11,Avatar 2021 Re-release,"$56,409,747",-,-,"$56,409,747",100%
12,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
13,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
14,Nobody,"$34,666,860","$19,210,860",55.4%,"$15,456,000",44.6%
15,I Fell in Love Like A Flower Bouquet,"$33,012,458",-,-,"$33,012,458",100%
16,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
17,The Little Things,"$29,794,002","$15,194,002",51%,"$14,600,000",49%
18,Master,"$28,692,230",-,-,"$28,692,230",100%
19,The Last Warrior: Root of Evil,"$28,338,091",-,-,"$28,338,091",100%
20,The Marksman,"$22,193,987","$15,435,881",69.5%,"$6,758,106",30.5%
21,Chaos Walking,"$21,599,266","$12,999,266",60.2%,"$8,600,000",39.8%
22,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
23,Detective Conan: The Scarlet Bullet,"$17,100,000",-,-,"$17,100,000",100%
24,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
25,Bo Gia,"$16,749,021",-,-,"$16,749,021",100%
26,The Dry,"$16,733,693",-,-,"$16,733,693",100%
27,Peter Rabbit 2: the Runaway,"$14,700,000",-,-,"$14,700,000",100%
28,Upon the Magic Roads,"$13,284,522",-,-,"$13,284,522",100%
29,Vakeel Saab,"$13,001,745",-,-,"$13,001,745",100%
30,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
31,Minari,"$10,929,587","$2,345,468",21.5%,"$8,584,119",78.5%
32,Mortal Kombat,"$10,700,000",-,-,"$10,700,000",100%
33,Krack,"$10,442,916",-,-,"$10,442,916",100%
34,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
35,The Unholy,"$10,001,623","$9,553,806",95.5%,"$447,817",4.5%
36,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
37,"Caution, Hazardous Wife: The Movie","$9,072,317",-,-,"$9,072,317",100%
38,The Eleventh Chapter,"$8,825,128",-,-,"$8,825,128",100%
39,The Courier,"$8,348,218","$5,525,906",66.2%,"$2,822,312",33.8%
