Title,Genre,Year,Director,Stars,Worldwide,Domestic,%,Foreign,%.1
Fast Color,,2019,Julia Hart,"Gugu Mbatha-Raw, Lorraine Toussaint,Saniyya Sidney, David Strathairn","$76,916","$76,916",100%,-,-
Black Dynamite,,2009,"Shawn Maurer, Scott Sanders",,"$296,557","$242,578",81.8%,"$53,979",18.2%
Black Dynamite,Comedy,2009,Scott Sanders,"Arsenio Hall, Tommy Davidson, Michael Jai White","$296,557","$242,578",81.8%,"$53,979",18.2%
Black Dynamite,Action,2009,Scott Sanders,"Arsenio Hall, Tommy Davidson, Michael Jai White","$296,557","$242,578",81.8%,"$53,979",18.2%
Keanu,,2016,Peter Atencio,"Keegan-Michael Key, Jordan Reele, TiffanyHaddish, Method Man","$20,651,333","$20,591,853",99.7%,"$59,480",0.3%
George Washington,,2000,David Gordon Greeen,"Donald Holden, Candace Evanofski, Curtis Cotton II, Eddie Rouse","$283,846","$247,406",87.2%,"$36,440",12.8%
Monsters and Men,,2018,Reinaldo Marcus Green,"John David Washington,Chante Adams, Rob Morgan","$510,967","$500,101",97.9%,"$10,866",2.1%
Madeline's Madeline,,2018,Josephine Decker,"Helena Howard, Molly Parker, Miranda July ","$197,309","$185,576",94.1%,"$11,733",5.9%
Luce,,2019,Julius Onah,"Naomi Watts, Octavia Spencer, Kelvin Harrison Jr., Tim Roth","$2,268,204","$2,010,613",88.6%,"$257,591",11.4%
Good Hair,,2009,Jeff Silson,Chris Rock,"$4,163,135","$4,157,223",99.9%,"$5,912",0.1%
Support the Girls,,2018,Andrew Bujaski,"Regina Hall, Haley Lu Richardson, Shayna McHayle, Brooklyn Decker","$139,550","$129,124",92.5%,"$10,426",7.5%
It Comes at Night,,2017,Trey Edward Shults,"Joel Edgerton, Riley Keough, Christopher Abbott, Carmen Ejogo","$19,735,344","$13,985,117",70.9%,"$5,750,227",29.1%
The Last Black Man in San Francisco,,2019,Joe Talbot," Jimmie Fails, Jonathan Majors, Tichina Arnold, Rob Morgan","$4,637,830","$4,515,719",97.4%,"$122,111",2.6%
Tangerine,,2015,Sean Baker (II),"itana Kiki Rodriguez, James Ransone, Mya Taylor, Alla Tumanian","$814,868","$702,354",86.2%,"$112,514",13.8%
Soul,,2020,Pete Docter,"Jamie Foxx, Daveed Diggs, John Ratzenberger, Tina Fey","$135,714,603",-,-,"$135,714,603",100%
Akeelah and the Bee,Family,2006,Doug Atchison,"Angela Bassett, Laurence Fishburne, Keke Palmer","$18,948,425","$18,848,430",99.5%,"$99,995",0.5%
Akeelah and the Bee,,2006,Doug Atchison,Keke Palmer,"$18,948,425","$18,848,430",99.5%,"$99,995",0.5%
Akeelah and the Bee,Drama,2006,Doug Atchison,"Angela Bassett, Laurence Fishburne, Keke Palmer","$18,948,425","$18,848,430",99.5%,"$99,995",0.5%
Are We Done Yet?,Family,2007,Steve Carr,"Ice Cube, Nia Long, John C. McGinley","$58,388,068","$49,662,533",85.1%,"$8,725,535",14.9%
Are We Done Yet?,,2007,Steve Carr,Ice Cube,"$58,388,068","$49,662,533",85.1%,"$8,725,535",14.9%
Are We Done Yet?,Comedy,2007,Steve Carr,"Ice Cube, Nia Long, John C. McGinleyh","$58,388,068","$49,662,533",85.1%,"$8,725,535",14.9%
Are We Done Yet?,Drama,2007,Steve Carr,"Ice Cube, Nia Long, John C. McGinley","$58,388,068","$49,662,533",85.1%,"$8,725,535",14.9%
