Director,Title,Year,Budget,Worldwide,Studio,Genre,Domestic,Foreign,Domestic %,Foreign%,Stars
Francis Lawrence,I Am Legend,2007,"$150,000,000","$585,410,052",Warner Bros,Drama,"$256,393,010","$329,017,042",43.80%,56%,"Will Smith, Alice Braga, Charlie Tahan"
Peter Berg,Hancock,2008,"$150,000,000","$629,443,428",Sony Pictures Entertainment,Action,"$227,946,274","$401,497,154",36.20%,64%,"Will Smith, Charlize Theron, Jason Bateman"
Barry Sonnenfeld,Men in Black II,2002,"$140,000,000","$445,135,288",Sony Pictures Entertainment,Action,"$190,418,803","$254,716,485",43.10%,57%,"Tommy Lee Jones, Will Smith, Rip Torn"
Barry Sonnenfeld,Men in Black II,2002,"$140,000,000","$445,135,288",Sony Pictures Entertainment,Comedy,"$190,418,803","$254,716,485",43.10%,57%,"Tommy Lee Jones, Will Smith, Rip Torn"
Brett Ratner,Rush Hour 3,2007,"$140,000,000","$258,097,122",New Line Cinema,Action,"$140,125,968","$117,971,154",54.30%,46%,"Jackie Chan, Chris Tucker, Max von Sydow"
Brett Ratner,Rush Hour 3,2007,"$140,000,000","$258,097,122",New Line Cinema,Comedy,"$140,125,968","$117,971,154",54.30%,46%,"Jackie Chan, Chris Tucker, Max von Sydow"
Richard Donner,Lethal Weapon,1998,"$140,000,000","$285,444,603",Warner Bros,Action,"$130,444,603","$155,000,000",46%,54%,"Mel Gibson, Danny Glover, Joe Pesci"
Michael Bay,Bad Boys II,2003,"$130,000,000","$273,339,556",Sony Pictures Entertainment,Action,"$138,608,444","$134,731,112",50.70%,49%,"Will Smith, Martin Lawrence, Gabrielle Union"
Michael Bay,Bad Boys II,2003,"$130,000,000","$273,339,556",Sony Pictures Entertainment,Comedy,"$138,608,444","$134,731,112",50.70%,49%,"Will Smith, Martin Lawrence, Gabrielle Union"
Alex Proyas,"I, Robot",2004,"$120,000,000","$353,133,898",Twentieth Century Fox,Action,"$144,801,023","$208,332,875",41%,59%,"Will Smith, Bridget Moynahan, Bruce Greenwood"
Michael Mann,Ali,2001,"$107,000,000","$87,713,825",Sony Pictures Entertainment,Drama,"$58,203,105","$29,510,720",66.40%,34%,"Will Smith, Jamie Foxx, Jon Voight"
"Ron Clements, John Musker",The Princess and the Frog,2009,"$105,000,000","$267,045,765",Walt Disney Motion Pictures,Family,"$104,400,899","$162,644,866",39.10%,61%,"Anika Noni Rose, Keith David, Oprah Winfrey"
Quentin Tarantino,Django Unchained,2012,"$100,000,000","$425,368,238",The Weinstein Company,Drama,"$162,805,434","$262,562,804",38.30%,62%,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio"
Ridley Scott,American Gangster,2007,"$100,000,000","$269,755,430",Universal Pictures,Drama,"$130,164,645","$139,590,785",48.30%,52%,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor"
Adil & Bilall,Bad Boys for Life,2020,"$90,000,001","$426,505,244",Sony Pictures Entertainment,Comedy,"$206,305,244","$220,200,000",48.40%,52%,Will Smith & Martin Lawrence
Adil & Bilall,Bad Boys for Life,2020,"$90,000,000","$426,505,244",Sony Pictures Entertainment,Action,"$206,305,244","$220,200,000",48.40%,52%,Will Smith & Martin Lawrence
Barry Sonnenfeld,Men in Black,1997,"$90,000,000","$589,590,539",Sony Pictures Entertainment,Comedy,"$250,690,539","$338,900,000",43%,57%,"Tommy Lee Jones, Will Smith, Linda Fiorentino"
Brett Ratner,Rush Hour 2,2001,"$90,000,000","$347,325,802",New Line Cinema,Action,"$226,164,286","$121,161,516",65.10%,35%," Jackie Chan, Chris Tucker, John Lone"
Brett Ratner,Rush Hour 2,2001,"$90,000,000","$347,325,802",New Line Cinema,Comedy,"$226,164,286","$121,161,516",65.10%,35%,"Jackie Chan, Chris Tucker, John Lone"
Anthony Hemingway,Red Tails,2012,"$85,000,000","$50,365,498",Twentieth Century Fox,Drama,"$49,876,377","$489,121",99%,1%,"Cuba Gooding Jr. Gerald McRaney, David Oyelowo, Andre Royo"
Daniel Espinosa,Safe House,2012,"$85,000,000","$208,076,205",Universal Pictures,Action,"$126,373,434","$81,702,771",60.70%,39%,"Denzel Washington, Ryan Reynolds, Robert Patrick"
"Albert Hughes, Allen Hughes",The Book of Eli,2010,"$80,000,000","$157,107,755",Warner Bros,Action,"$94,835,059","$62,272,696",60.40%,40%,"Denzel Washington, Mila Kunis, Ray Stevenson"
Phillip Noyce,The Bone Collector,1999,"$73,000,000","$151,493,655",Universal Pictures,Drama,"$66,518,655","$84,975,000",43.90%,56%,"Denzel Washington, Angelina Jolie"
Andy Tennant,Hitch,2005,"$70,000,000","$371,594,210",Sony Pictures Entertainment,Romance,"$179,495,555","$192,098,655",48.30%,52%,"Will Smith, Eva Mendez"
Edward Zwick,The Siege,1998,"$70,000,000","$116,672,912",Twentieth Century Fox,Action,"$40,981,289","$75,691,623",35.10%,65%,"Denzel Washington, Bruce Willis, Annette Bening"
David S. Goyer,Blade: Trinity,2004,"$65,000,000","$131,977,904",New Line Cinema,Action,"$52,411,906","$79,565,998",39.70%,60%,"Wesley Snipes, Kris Kristofferson, Parker Posey"
Les Mayfield,Blue Streak,1999,"$65,000,000","$117,758,500",Sony Pictures Entertainment,Action,"$68,518,533","$49,239,967",58.20%,42%," Martin Lawrence, Luke Wilson, Peter Greene"
Les Mayfield,Blue Streak,1999,"$65,000,000","$117,758,500",Sony Pictures Entertainment,Comedy,"$68,518,533","$49,239,967",58.20%,42%,"Martin Lawrence, Luke Wilson, Peter Greene"
Keenen Ivory Wayans,Little Man,2006,"$64,000,000","$104,003,322",Revolution Studios,Comedy,"$58,645,052","$45,358,270",56.40%,44%,"Shawn Wayans, Marlon Wayans, Kerry Washington"
Antoine Fuqua,The Equalizer 2,2018,"$62,000,000","$190,400,157",Sony Pictures Entertainment,Action,"$102,084,362","$88,315,795",53.60%,46%,"Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean"
Brian Robbins,Meet Dave,2008,"$60,000,000","$51,339,567",Twentieth Century Fox,Family,"$11,803,254","$39,536,313",23%,77%,"Eddie Murphy, Elizabeth Banks, Gabrielle Union"
Clint Eastwood,Invictus,2009,"$60,000,000","$122,233,971",Warner Bros,Drama,"$37,491,364","$84,742,607",30.70%,69%,Morgan Freeman
Antoine Fuqua,The Equalizer,2014,"$55,000,000","$192,330,738",Sony Pictures Entertainment,Action,"$101,530,738","$90,800,000",52.80%,47%,"Denzel Washington, Marton Csokas, Chlo� Grace Moretz, David Harbour"
Gabriele Muccino,The Pursuit of Happyness,2006,"$55,000,000","$307,127,625",Sony Pictures Entertainment,Family,"$163,566,459","$143,561,166",53.30%,47%,"Will Smith, Thandie Newton, Jaden Smith"
Karey Kirkpatrick,Imagine That,2009,"$55,000,000","$22,985,194",Paramount Pictures,Family,"$16,123,323","$6,861,871",70.10%,30%,"Eddie Murphy, Thomas Haden Church, Yara Shahidi"
Tom Shadyac,The Nutty Professor,1996,"$54,000,001","$273,961,019",Universal Pictures,Romance,"$128,814,019","$145,147,000",47%,53%,"Eddie Murphy, Jada Pinkett Smith, James Coburn"
Guillermo del Toro,Blade II,2002,"$54,000,000","$155,010,032",New Line Cinema,Action,"$82,348,319","$72,661,713",53.10%,47%,"Wesley Snipes, Kris Kristofferson, Ron Perlman"
Tom Shadyac,The Nutty Professor,1996,"$54,000,000","$273,961,019",Universal Pictures,Comedy,"$128,814,019","$145,147,000",47%,53%,"Eddie Murphy, Jada Pinkett Smith, James Coburn"
Norman Jewison,The Hurricane,1999,"$50,000,000","$73,956,241",Universal Pictures,Drama,"$50,699,241","$23,257,000",68.60%,31%,Denzel Washington
Rawson Marshall Thurber,Central Intelligence,2016,"$50,000,000","$216,972,543",Warner Bros,Action,"$127,440,871","$89,531,672",58.70%,41%,"Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan"
Steve Capel Jr,Creed II,2018,"$50,000,000","$214,215,889",MGM,Drama,"$115,715,889","$98,500,000",54%,46%,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad"
"Chris Weitz, Paul Weitz",Down to Earth,2001,"$49,000,000","$71,186,502",Paramount Pictures,Comedy,"$64,186,502","$7,000,000",90.20%,10%,"Chris Rock, Regina King, Chazz Palminteri"
"Chris Weitz, Paul Weitz",Down to Earth,2001,"$49,000,000","$71,186,502",Paramount Pictures,Romance,"$64,186,502","$7,000,000",90.20%,10%,"Chris Rock, Regina King, Chazz Palminteri"
Spike Lee,Miracle at St. Anna,2008,"$45,000,000","$9,333,654",Walt Disney Motion Pictures,Action,"$7,919,117","$1,414,537",84.80%,15%,"Derek Luke, Michael Ealy, Laz Alonso"
Spike Lee,Inside Man,2006,"$45,000,000","$186,003,591",Universal Pictures,Drama,"$88,513,495","$97,490,096",47.60%,52%,"Denzel Washington, Clive Owen, Jodie Foster"
Wayne Wang,Last Holiday,2006,"$45,000,000","$43,451,846",Paramount Pictures,Comedy,"$38,399,961","$5,051,885",88.40%,12%,"Queen Latifah, LL Cool J, Timothy Hutton"
Wayne Wang,Last Holiday,2006,"$45,000,000","$43,451,846",Paramount Pictures,Drama,"$38,399,961","$5,051,885",88.40%,12%,"Queen Latifah, LL Cool J, Timothy Hutton"
John Whitesell,Big Momma's House 2,2006,"$40,000,001","$141,522,961",Twentieth Century Fox,Action,"$70,165,972","$71,356,989",49.60%,50%,"Martin Lawrence, Emily Procter, Nia Long"
Benny Boom,All Eyez on Me,2017,"$40,000,000","$55,668,698",Lionsgate,Drama,"$44,922,302","$10,746,396",80.70%,19%,"Demetrius Shipp Jr., Danai Gurira, Kat Graham, Annie Ilonzeh"
Brian Hegeland,42,2013,"$40,000,000","$97,470,701",Warner Bros,Drama,"$95,020,213","$2,450,488",97.50%,3%,"Chadiwick Boseman, T.R. Knight, Harrison Ford"
John Whitesell,Big Momma's House 2,2006,"$40,000,000","$141,522,961",Twentieth Century Fox,Comedy,"$70,165,972","$71,356,989",49.60%,50%,"Martin Lawrence, Emily Procter, Nia Long"
Malcolm D. Lee,Soul Men,2008,"$40,000,000","$12,331,637",MGM/Weinstein,Comedy,"$12,082,391","$249,246",98%,2%,"Samuel L. Jackson, Bernie Mac, Sharon Leal"
Taylor Hackford,Ray,2004,"$40,000,000","$123,971,376",Universal Pictures,Drama,"$75,331,600","$48,639,776",60.80%,39%,"Jamie Foxx, Regina King, Kerry Washington, lifton Powell"
Tim Story,Ride Along 2,2016,"$40,000,000","$124,605,297",Universal Pictures,Action,"$91,221,830","$33,383,467",73.20%,27%,"Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt"
Bill Duke,Sister Act 2: Back in the Habit,1993,"$38,000,000","$57,319,029",,Comedy,"$57,319,029",,100%,,"Whoopi Goldberg, Kathy Najimy, Maggie Smith, Barnard Hughes"
